state,county,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two or more races: Two races including Some other race,Two or more races: Two races excluding Some other race and three or more races,Total_1,Car truck or van,Car truck or van: Drove alone,Car truck or van: Carpooled,Car truck or van: Carpooled: In 2-person carpool,Car truck or van: Carpooled: In 3-person carpool,Car truck or van: Carpooled: In 4-person carpool,Car truck or van: Carpooled: In 5- or 6-person carpool,Car truck or van: Carpooled: In 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab): Bus or trolley bus,Public transportation (excluding taxicab): Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): Subway or elevated,Public transportation (excluding taxicab): Railroad,Public transportation (excluding taxicab): Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home,Total_2,Family households,Family households: Married-couple family,Family households: Other family,Family households: Other family: Male householder no wife present,Family households: Other family: Female householder no husband present,Nonfamily households,Nonfamily households: Householder living alone,Nonfamily households: Householder not living alone
Indiana,Wells County,96.10333846,0.722796722,0.132393459,0.468744409,0,1.152180914,1.420546034,0.218270297,1.202275736,48.83887358,45.75804201,42.90621534,2.851826672,2.111138942,0.422227788,0.239739507,0.050094822,0.028625613,0.193222886,0.071564032,0,0.028625613,0,0.093033241,0,0.103767846,0.107346048,0.783626149,0.221848499,1.671020145,38.90936415,27.24442695,22.71800193,4.526425019,0.937488818,3.588936201,11.6649372,10.24796937,1.416967832
Indiana,White County,91.66701078,0.437709047,0.293182475,0.251889169,0,5.661312301,1.68889623,0.289053144,1.399843085,46.24850312,42.84180534,36.86253458,5.97927076,3.951769418,1.263575174,0.338605112,0.379898418,0.045422637,0.136267911,0.06193996,0,0,0,0.074327951,0,0.012387992,0.115621258,0.590494281,0.701986208,1.849940125,40.24032704,28.22810422,21.79873642,6.429367799,2.382623777,4.046744023,12.01222282,10.15815336,1.854069455
Indiana,Whitley County,96.90629736,0.413088056,0.374453921,0.407144343,0,0.142649113,1.756367203,0.496300039,1.260067164,49.77562483,47.26143422,43.8319118,3.429522423,2.707361289,0.520074891,0.032690422,0.145620969,0.023774852,0.020802996,0.020802996,0,0,0,0,0,0.258551517,0.05943713,0.312044934,0.323932361,1.539421677,40.26271212,28.75271182,23.25477726,5.49793456,1.901988172,3.595946388,11.5100003,9.759576808,1.75042349
Iowa,Adair County,97.79618192,0.379000561,0,0.561482313,0,0.154407636,1.108927569,0.140370578,0.96855699,49.43851769,45.15721505,38.8826502,6.274564851,4.870859068,0.491297024,0.505334082,0.056148231,0.350926446,0.168444694,0.168444694,0,0,0,0,0.084222347,0,0,1.207186974,0.028074116,2.793374509,44.02021336,28.83211679,23.51207187,5.320044919,2.105558675,3.214486244,15.18809657,12.9842785,2.20381808
Iowa,Adams County,98.28234031,0.429414922,0.080515298,0.268384326,0,0.751476114,0.187869028,0,0.187869028,46.80622652,41.68008588,36.17820719,5.50187869,4.562533548,0.858829844,0.026838433,0,0.053676865,0.134192163,0.134192163,0,0,0,0,0,0.134192163,0.134192163,1.502952228,0.080515298,3.140096618,44.04186795,28.44873859,25.06709608,3.381642512,1.637144391,1.744498121,15.59312936,12.39935588,3.193773484
Iowa,Allamakee County,96.77233429,1.253602305,0.180115274,0.504322767,0.07204611,0.122478386,1.095100865,0.208933718,0.886167147,49.09942363,42.29827089,37.77377522,4.524495677,2.946685879,0.972622478,0.374639769,0.172910663,0.057636888,0.100864553,0.100864553,0,0,0,0,0,0,0.15129683,2.773775216,0.583573487,3.191642651,42.91786744,27.32708934,23.52305476,3.804034582,1.613832853,2.190201729,15.5907781,13.45100865,2.139769452
Iowa,Appanoose County,97.17026379,0.591526779,0.175859313,0.543565148,0,0.079936051,1.438848921,0.087929656,1.350919265,43.50119904,39.42446043,35.58752998,3.836930456,2.350119904,0.263788969,0.191846523,0.879296563,0.151878497,0.183852918,0.183852918,0,0,0,0,0,0.01598721,0.159872102,1.087130296,0.399680256,2.230215827,43.29336531,25.48361311,20.57553957,4.908073541,1.614708233,3.293365308,17.8097522,15.9392486,1.870503597
Iowa,Audubon County,97.17935072,0.354798652,0.07095973,0.461238247,0,0,1.933652652,0,1.933652652,50.94908639,47.08178109,41.99042044,5.091360653,3.299627461,1.312755012,0.248359056,0.230619124,0,0.248359056,0.248359056,0,0,0,0,0.230619124,0,0,0.780557034,0.372538584,2.235231506,47.48979954,28.685471,23.96664893,4.718822068,1.543374135,3.175447933,18.80432854,15.91271953,2.891609012
Iowa,Benton County,97.46741591,0.604854445,0.183407477,0.331694373,0,0.195114337,1.217513463,0.300476079,0.917037384,51.36189807,46.97182549,42.59736205,4.374463436,3.422305471,0.803871068,0.140482323,0.007804573,0,0.097557169,0.085850308,0,0,0,0.01170686,0,0.027316007,0.050729728,1.607742137,0.222430344,2.384297198,39.89697963,28.4593772,24.18637321,4.27300398,1.416530087,2.856473894,11.43760244,9.75571685,1.681885585
Iowa,Black Hawk County,83.96725034,9.099384252,0.467637528,2.316384606,0.299227872,1.573577728,2.276537678,0.151117594,2.125420084,51.30329527,46.44948838,41.81446368,4.635024698,3.661406371,0.579660023,0.232315106,0.118788954,0.042854243,0.236826079,0.236826079,0,0,0,0,0.039095099,0.124803585,0.297724214,1.938214707,0.279680322,1.937462878,39.82888376,23.79763775,17.85593456,5.941703193,1.824688555,4.117014638,16.03124601,12.4758475,3.555398507
Iowa,Boone County,96.39759082,0.511383007,0.50001894,0.371226183,0.352286071,0.268949581,1.598545399,0.018940111,1.579605288,51.53604303,47.87302549,42.74783136,5.125194136,4.235008902,0.515171029,0.094700557,0.140156824,0.140156824,0.08333649,0.056820334,0,0,0.026516156,0,0,0.098488579,0.238645403,1.420508353,0.075760445,1.746278268,41.44096367,27.22451608,22.21296261,5.011553468,2.147808629,2.863744839,14.21644759,11.95121027,2.26523732
Iowa,Bremer County,96.22710031,1.041078202,0.326850133,1.117746752,0.044387055,0.314744573,0.928092971,0.096844484,0.831248487,51.64232104,44.82689049,41.09030748,3.736583004,2.643047373,0.770720684,0.201759341,0.048422242,0.072633363,0.169477847,0.1533371,0.016140747,0,0,0,0,0.048422242,0.17754822,3.236219837,0.060527802,3.123234606,38.67726576,26.66047938,23.07723348,3.583245904,1.432491324,2.15075458,12.01678638,10.28972641,1.727059963
Iowa,Buchanan County,97.39171598,0.104142012,0.340828402,0.582248521,0,0.028402367,1.552662722,0.19408284,1.358579882,48.53491124,42.48047337,38.75502959,3.725443787,2.721893491,0.591715976,0.189349112,0.175147929,0.047337278,0.170414201,0.123076923,0,0.023668639,0,0.023668639,0,0,0.383431953,1.680473373,0.511242604,3.30887574,38.08757396,26.04970414,21.11242604,4.937278107,1.514792899,3.422485207,12.03786982,10.20591716,1.831952663
Iowa,Buena Vista County,77.4136229,2.71964462,0.014807502,10.63672261,0.478775913,7.556762093,1.179664363,0.449160908,0.730503455,50.55774926,44.22507404,36.89042448,7.334649556,6.011846002,0.873642646,0.083909181,0.039486673,0.325765054,0.143139191,0.088845015,0.054294176,0,0,0,0,0.103652517,0.409674235,2.847976308,0.26159921,2.566633761,37.26554788,25.08390918,19.55083909,5.533070089,2.132280355,3.400789733,12.1816387,10.10365252,2.07798618
Iowa,Butler County,97.55683746,0.570071259,0.190023753,0.563284696,0.061079063,0.047505938,1.011197828,0,1.011197828,48.36104513,43.59687818,39.35527655,4.241601629,3.624024432,0.46827282,0.108585002,0.040719376,0,0.101798439,0.101798439,0,0,0,0,0.040719376,0.047505938,0.217170003,1.465897523,0.108585002,2.782490668,42.42280285,28.59178826,24.68951476,3.902273498,1.594842212,2.307431286,13.83101459,11.76789956,2.063115032
Iowa,Calhoun County,95.71574642,1.237218814,0.654396728,0.306748466,0,0.388548057,1.697341513,0.122699387,1.574642127,44.24335378,39.87730061,36.95296524,2.924335378,2.208588957,0.490797546,0.071574642,0.122699387,0.030674847,0.18404908,0.18404908,0,0,0,0,0,0.051124744,0.112474438,0.879345603,0.36809816,2.770961145,42.85276074,27.83231084,22.81186094,5.020449898,1.3599182,3.660531697,15.0204499,12.59713701,2.423312883
Iowa,Carroll County,99.05131734,0.172040897,0.019661817,0.108139992,0,0.172040897,0.476799056,0.004915454,0.471883602,51.82854896,46.44121117,42.99547778,3.445733386,2.615021628,0.51612269,0.30475816,0.009830908,0,0.172040897,0.172040897,0,0,0,0,0,0,0.235941801,1.263271726,0.294927251,3.421156115,42.63664963,27.02516713,22.68973653,4.335430594,1.690916241,2.644514353,15.6114825,14.15650806,1.45497444
Iowa,Cass County,97.11924797,0.303237056,0.409370025,0.46243651,0.159199454,0.447274657,1.099234326,0.060647411,1.038586915,47.89629293,42.8322341,37.83640361,4.99583049,3.979986354,0.515502994,0.325979835,0.128875749,0.045485558,0.477598363,0.424531878,0,0.053066485,0,0,0.068228338,0.174361307,0.075809264,1.819422333,0.068228338,2.380410886,45.21264499,26.79857479,21.62080206,5.177772724,1.789098628,3.388674096,18.4140702,15.81381245,2.600257751
Iowa,Cedar County,97.17538628,0.737327189,0.243968555,0.319869883,0,0.211439414,1.312008674,0.097587422,1.214421252,52.82190295,46.63052318,43.32339387,3.307129303,2.586066685,0.254811602,0.124695039,0.092165899,0.249390079,0.238547032,0.238547032,0,0,0,0,0,0.027107617,0.086744375,1.284901057,0.390349688,4.163730008,40.91081594,26.6359447,23.09568989,3.540254812,1.295744104,2.244510708,14.27487124,11.75928436,2.51558688
Iowa,Cerro Gordo County,94.20249395,1.733203052,0.483900986,1.121347478,0.018611576,0.78866555,1.651777406,0.193095105,1.4586823,50.09538433,44.98418016,41.19672436,3.787455798,2.935976177,0.551367951,0.013958682,0.197747999,0.088404988,0.34664061,0.34664061,0,0,0,0,0.032570259,0.148892611,0.355946399,1.882095664,0.383863763,1.961194863,44.69802717,27.19849246,20.56811837,6.630374093,2.068211428,4.562162665,17.49953471,14.9869719,2.512562814
Iowa,Cherokee County,94.79420998,2.345657482,0.444715731,0.680153471,0,0.061039414,1.674223927,0.026159749,1.648064179,50.40111615,45.37844437,42.22183467,3.156609697,2.694454133,0.462155563,0,0,0,0,0,0,0,0,0,0,0,0,1.552145099,0.244157656,3.226369027,46.53819323,26.90094175,21.36379491,5.537146843,1.403906522,4.133240321,19.63725148,16.34984304,3.287408441
