state,county,Total,ar_Under_1_years_White,ar_1_to_9_years_White,ar_10_to_14_years_White,ar_15_to_17_years_White,ar_18_and_19_years_White,ar_20_to_24_years_White,ar_25_to_29_years_White,ar_30_to_34_years_White,ar_35_to_44_years_White,ar_45_to_54_years_White,ar_55_to_64_years_White,ar_65_to_74_years_White,ar_75_to_84_years_White,ar_85_years_and_over_White,ar_Under_1_years_Black,ar_1_to_9_years_Black,ar_10_to_14_years_Black,ar_15_to_17_years_Black,ar_18_and_19_years_Black,ar_20_to_24_years_Black,ar_25_to_29_years_Black,ar_30_to_34_years_Black,ar_35_to_44_years_Black,ar_45_to_54_years_Black,ar_55_to_64_years_Black,ar_65_to_74_years_Black,ar_75_to_84_years_Black,ar_85_years_and_over_Black,ar_Under_1_years_Native,ar_1_to_9_years_Native,ar_10_to_14_years_Native,ar_15_to_17_years_Native,ar_18_and_19_years_Native,ar_20_to_24_years_Native,ar_25_to_29_years_Native,ar_30_to_34_years_Native,ar_35_to_44_years_Native,ar_45_to_54_years_Native,ar_55_to_64_years_Native,ar_65_to_74_years_Native,ar_75_to_84_years_Native,ar_85_years_and_over_Native,ar_Under_1_years_Asian,ar_1_to_9_years_Asian,ar_10_to_14_years_Asian,ar_15_to_17_years_Asian,ar_18_and_19_years_Asian,ar_20_to_24_years_Asian,ar_25_to_29_years_Asian,ar_30_to_34_years_Asian,ar_35_to_44_years_Asian,ar_45_to_54_years_Asian,ar_55_to_64_years_Asian,ar_65_to_74_years_Asian,ar_75_to_84_years_Asian,ar_85_years_and_over_Asian,ar_Under_1_years_PI,ar_1_to_9_years_PI,ar_10_to_14_years_PI,ar_15_to_17_years_PI,ar_18_and_19_years_PI,ar_20_to_24_years_PI,ar_25_to_29_years_PI,ar_30_to_34_years_PI,ar_35_to_44_years_PI,ar_45_to_54_years_PI,ar_55_to_64_years_PI,ar_65_to_74_years_PI,ar_75_to_84_years_PI,ar_85_years_and_over_PI,ar_Under_1_years_Hispanic,ar_1_to_9_years_Hispanic,ar_10_to_14_years_Hispanic,ar_15_to_17_years_Hispanic,ar_18_and_19_years_Hispanic,ar_20_to_24_years_Hispanic,ar_25_to_29_years_Hispanic,ar_30_to_34_years_Hispanic,ar_35_to_44_years_Hispanic,ar_45_to_54_years_Hispanic,ar_55_to_64_years_Hispanic,ar_65_to_74_years_Hispanic,ar_75_to_84_years_Hispanic,ar_85_years_and_over_Hispanic,ar_Under_1_years_With_a_disability,ar_Under 5 years_ With a disability,ar_5 to 17 years_ With a disability,ar_18_to_34_years_With_a_disability,ar_35_to_64_years_With_a_disability,ar_65_to_74_years_With_a_disability,ar_75_years_and_over_With_a_disability
Georgia,Dodge,14102,354,307,453,220,164,407,567,418,952,1036,1008,795,376,85,167,179,71,148,72,234,326,236,475,545,400,161,90,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,58,0,0,0,68,7,209,3,14,10,4,0,0,0,212,233,832,219,195
Georgia,Dooly,6277,139,84,143,57,206,126,176,123,496,515,641,461,194,62,151,277,140,136,52,330,318,289,587,547,449,255,166,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,37,48,22,37,58,47,101,72,53,44,0,7,0,0,0,97,106,512,225,190
Georgia,Dougherty,24556,688,634,422,334,252,800,697,612,1329,1492,1801,1560,819,315,2267,2405,2382,1410,1270,2667,2186,1781,3271,3181,3035,1862,581,246,0,0,0,0,0,0,31,24,0,10,0,36,0,0,12,27,87,0,29,23,7,88,37,44,34,47,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,167,123,143,58,54,162,67,110,209,99,67,34,0,0,0,0,672,922,2578,1005,996
Georgia,Douglas,67261,1856,2195,2187,1445,880,1949,1954,1818,4072,5002,4823,3292,1385,342,2405,2501,3138,1831,1061,2245,2142,1800,4369,4497,2684,1096,330,52,0,0,33,0,0,24,0,0,0,29,43,17,0,0,49,27,147,15,91,12,19,53,186,171,120,56,15,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,680,765,859,412,329,382,429,476,1080,723,370,161,78,0,62,62,907,897,3624,1279,1065
Georgia,Early,4735,62,58,209,137,82,64,116,88,259,327,363,304,177,46,199,316,131,82,36,230,148,123,250,282,281,174,85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,12,35,26,0,0,0,0,0,61,139,213,111,163
Georgia,Echols,2946,27,84,109,28,53,17,78,75,210,294,164,146,89,75,0,0,0,0,0,0,0,0,13,7,28,0,0,0,0,0,0,7,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,14,18,48,75,35,61,161,65,9,7,0,0,0,0,0,25,165,48,68
Georgia,Effingham,48093,1641,1998,1699,1162,581,1387,1520,1710,3417,3408,2906,1746,698,160,259,367,277,209,192,315,312,295,592,396,417,234,42,28,0,0,0,0,0,0,0,0,3,20,11,0,0,0,0,0,24,47,0,11,7,25,8,73,45,0,0,0,0,0,0,0,0,0,0,0,17,0,0,7,0,0,169,191,184,84,25,122,34,120,275,107,34,38,0,0,0,0,330,553,1702,620,500
Georgia,Elbert,13085,353,294,438,253,175,328,396,325,719,889,950,762,379,160,152,167,260,98,77,136,268,232,299,263,388,253,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,47,91,48,0,75,34,29,106,53,73,0,0,0,0,0,188,244,716,416,271
Georgia,Emanuel,13935,372,420,431,298,194,421,396,449,824,948,963,697,348,69,328,316,284,223,142,291,280,257,463,424,371,230,105,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,43,30,40,47,36,0,76,64,104,46,4,0,0,0,0,259,217,974,411,315
Georgia,Evans,6291,190,220,168,122,69,141,183,182,314,460,425,351,162,62,162,139,133,71,60,80,157,73,252,145,170,73,36,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,108,128,26,9,33,63,71,5,148,9,34,0,0,0,0,51,126,311,162,196
Georgia,Fannin,24160,479,455,802,372,247,572,522,457,1161,1426,2001,2043,902,293,0,0,0,0,0,0,0,4,0,6,18,0,0,0,0,0,21,0,0,0,0,0,17,3,1,0,0,0,0,32,0,0,0,1,32,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,119,0,39,39,3,6,33,14,3,17,13,0,12,12,64,242,1276,758,687
Georgia,Fayette,75542,1568,1856,2907,1933,1055,2286,1493,1491,3737,5677,5891,4430,1901,584,512,921,709,756,451,840,579,469,1382,1819,1693,1109,293,72,18,0,0,10,19,0,0,0,20,4,11,20,0,0,192,168,226,114,98,109,162,133,397,377,267,139,29,0,0,0,0,0,0,21,0,0,0,22,0,0,0,0,341,245,608,239,176,266,203,230,642,505,286,180,40,13,11,11,467,648,1591,1242,1193
Georgia,Floyd,75735,2180,1932,2744,1454,1024,2357,2389,2187,4515,4975,4703,3636,1845,550,385,464,579,259,191,547,570,429,874,765,748,425,123,54,0,0,36,0,0,0,0,18,46,0,3,0,0,0,18,53,160,0,25,41,88,0,135,91,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,433,746,318,129,553,522,468,953,539,169,94,0,53,33,33,495,735,2764,1536,1385
Georgia,Forsyth,178874,5181,6718,7953,4832,2320,4656,3825,4662,12387,15598,10235,6599,2921,769,257,290,379,241,31,187,119,216,695,620,354,173,11,11,19,21,25,33,0,9,7,0,24,50,43,10,0,0,1084,1570,1305,387,132,262,293,855,3804,1784,560,425,187,18,0,0,61,0,0,0,0,9,0,0,0,0,0,0,1065,1036,1246,570,336,742,685,969,1809,1373,643,251,114,11,135,135,1052,934,2656,1418,1660
Georgia,Franklin,19338,503,497,578,375,243,602,579,555,1081,1290,1387,1039,500,133,113,103,38,9,70,157,0,69,78,169,40,131,23,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,55,4,0,0,24,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,66,30,28,1,46,0,111,98,52,25,0,0,0,9,9,62,121,910,510,370
Georgia,Fulton,458596,11537,12209,13393,7877,6209,15748,19921,18630,33316,37320,29479,16954,6691,2842,15933,16626,14910,9453,7187,16526,17532,15806,28462,25464,20392,12232,5215,1028,126,79,152,201,109,72,186,123,646,143,180,49,12,0,2036,2087,2081,1303,1512,3541,3340,4037,6487,5072,2572,1135,496,100,0,32,23,2,0,11,11,34,43,1,8,0,0,0,3788,3981,3660,1744,1231,2966,3459,3459,6491,4602,2124,727,279,26,178,178,5020,6723,20551,6931,6887
Georgia,Gilmer,27122,634,672,680,476,251,681,679,607,1414,1853,2281,2191,965,180,0,0,0,0,0,4,0,7,28,4,0,18,0,0,0,0,10,69,5,0,0,0,22,3,18,0,0,0,0,0,21,0,20,26,26,0,3,0,0,5,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,198,182,156,128,31,127,134,150,259,361,160,10,4,0,0,0,230,187,1232,539,724
Georgia,Glascock,2661,119,105,87,26,21,97,69,61,174,185,173,131,48,23,0,0,0,0,0,0,0,12,0,37,29,8,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,81,25,44
Georgia,Glynn,57000,1382,1655,1353,1007,501,1377,1619,1483,3110,3595,3900,3648,1667,633,804,889,827,542,346,902,752,605,1195,1081,1165,588,245,78,0,12,45,25,0,8,24,0,10,0,0,8,0,0,37,0,24,44,8,11,40,46,98,66,90,26,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,300,286,332,163,20,281,257,236,457,236,43,36,47,45,14,14,738,795,2784,1187,1009
Georgia,Gordon,50658,1550,1538,2063,1212,597,1584,1508,1537,3338,3617,3168,2192,951,203,105,64,164,26,132,40,45,97,119,216,158,30,16,0,82,85,0,0,0,0,0,0,0,75,42,0,0,0,0,17,0,38,0,0,0,16,53,52,37,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,431,571,232,112,389,340,459,752,525,308,58,0,0,0,0,774,352,2400,785,462
Georgia,Grady,16529,593,530,587,380,108,471,441,460,952,1075,1087,874,337,211,267,248,317,167,31,123,283,269,313,421,447,257,88,23,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,40,19,0,4,18,0,0,0,8,0,0,0,0,0,83,0,0,0,0,0,0,0,272,145,222,120,0,117,120,115,221,129,111,21,3,0,9,9,326,406,874,400,376
Georgia,Greene,9924,195,88,267,110,54,166,162,231,399,513,799,1232,597,64,80,377,274,133,75,205,184,165,318,362,352,262,71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,11,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,51,79,0,9,22,88,54,71,7,23,18,5,0,8,8,43,55,358,440,288
Georgia,Gwinnett,448155,14313,14916,16835,10117,5472,13150,13471,14292,29477,33893,29944,17468,6643,1781,8580,9203,11494,6866,3889,9164,8091,7559,17806,17528,9887,3416,1224,23,202,67,219,16,30,80,162,181,297,227,181,18,36,0,2790,2598,3646,2322,1161,3660,3558,3517,7263,8160,6261,3111,1386,191,0,0,9,0,1,0,17,2,89,10,0,0,0,0,9639,10787,9717,5239,2988,7042,7326,8428,17360,11231,5220,1777,675,76,408,408,3376,3781,12028,4385,4655
Georgia,Habersham,38359,935,1220,1118,764,478,1277,986,1065,2118,2378,2428,2103,1173,239,0,25,24,29,3,62,18,6,72,36,61,66,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,46,28,0,56,0,0,31,135,14,11,0,0,0,34,27,0,0,40,0,36,29,0,0,0,0,0,374,417,310,188,191,443,80,297,466,344,136,41,48,0,36,36,158,296,1139,856,829
Georgia,Hall,166426,5463,6148,6108,3771,1891,5283,5638,5238,10561,11415,9567,7166,3461,898,439,376,552,450,119,801,521,440,918,1083,751,362,172,24,12,0,40,29,19,20,6,18,10,34,75,9,0,0,77,102,105,44,0,194,22,89,259,294,197,145,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019,3398,3031,1692,967,2380,2274,2332,4437,3224,1410,546,106,113,16,16,1219,1251,3996,1953,2117
Georgia,Hancock,2094,0,0,25,0,0,76,49,105,133,300,199,251,95,46,162,154,167,188,52,400,548,376,384,361,451,300,110,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,8,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,22,31,19,46,17,6,8,0,8,0,0,89,13,89,109,171
Georgia,Haralson,26752,778,920,869,570,329,776,851,775,1564,1998,1620,1195,603,97,14,30,66,0,21,13,13,39,153,112,100,58,6,0,0,0,0,5,0,0,27,0,0,0,28,0,0,0,3,0,0,42,0,5,0,0,45,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,74,0,39,0,0,24,0,40,0,0,4,0,39,39,123,346,1107,479,393
Georgia,Harris,26584,696,972,841,587,327,712,625,680,1646,1975,1990,1573,621,121,70,123,142,63,133,190,175,247,242,436,423,319,124,0,0,0,9,0,0,0,0,0,0,22,0,0,0,0,0,0,39,16,0,32,42,0,35,19,31,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,85,91,25,26,65,10,41,33,123,0,36,2,7,0,0,0,316,353,1227,794,423
Georgia,Hart,19823,476,631,509,339,227,517,542,462,1087,1298,1448,1285,684,157,114,120,174,92,123,84,287,180,263,334,232,237,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,29,0,0,20,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,111,25,0,51,0,16,13,107,66,25,6,9,6,0,0,64,368,1081,571,479
Georgia,Heard,10145,316,293,375,232,117,309,291,265,621,730,704,525,178,94,44,43,9,6,4,40,10,15,63,114,82,35,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,13,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,25,0,30,19,0,0,0,4,31,20,4,0,0,0,0,0,131,133,512,247,148
Georgia,Henry,109034,2764,4077,3288,2475,1389,3189,3156,2874,6779,8471,7289,4678,2093,467,3045,3352,4094,2731,1547,3370,2656,2496,6221,6813,4441,2131,504,239,0,0,0,0,7,0,0,0,65,25,20,0,20,0,315,222,386,124,148,132,195,196,567,525,377,221,86,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,754,825,714,499,265,570,510,542,1092,851,559,108,56,0,79,79,1189,1131,5222,1964,1597
Georgia,Houston,92943,3003,3374,2894,1832,1052,2845,3398,3074,5983,6604,5895,3735,1969,522,1563,1698,2183,1124,720,1746,1749,1584,2644,2672,2218,1037,400,60,8,13,13,0,0,0,0,0,15,37,37,0,19,42,168,203,157,29,61,104,188,146,327,307,119,50,128,24,0,0,0,0,0,0,0,0,0,0,0,13,0,0,543,599,391,314,146,419,421,493,805,518,288,71,98,24,21,21,1378,1022,3481,1656,1737
Georgia,Irwin,6318,130,216,199,124,118,281,93,184,430,445,401,326,229,46,81,104,139,34,154,71,148,109,261,186,67,100,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,21,0,0,1,6,1,10,0,0,28,0,24,0,0,19,64,477,251,146
Georgia,Jackson,57489,1814,2180,1948,1172,677,1483,1708,1834,3975,4225,3337,2560,1170,195,97,200,102,81,72,212,151,178,368,272,316,136,74,11,0,0,0,0,0,0,0,0,0,38,9,0,0,0,13,10,39,39,0,8,19,39,103,110,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,232,294,224,54,125,119,174,214,431,270,110,95,27,0,40,40,433,617,1761,763,811
Georgia,Jasper,10380,274,421,307,210,136,243,270,273,592,757,746,560,279,12,90,108,91,29,50,91,69,3,219,181,202,116,50,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,21,0,19,29,16,7,34,8,18,8,0,0,9,9,73,136,573,273,184
Georgia,Jeff Davis,11392,403,259,517,240,208,210,329,324,726,769,749,551,204,88,178,133,91,56,161,20,50,119,26,124,103,180,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,124,106,34,18,72,77,38,147,102,45,0,0,0,1,1,168,69,544,359,140
Georgia,Jefferson,6826,232,146,232,142,96,164,231,184,404,468,474,409,209,54,295,368,263,178,40,350,299,240,474,488,499,304,98,49,0,0,0,6,0,8,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37,0,25,9,17,71,56,49,3,0,4,7,0,0,0,39,64,567,316,264
Georgia,Jenkins,5363,166,172,154,46,40,298,27,92,350,350,447,321,83,14,148,142,58,30,32,195,110,10,76,198,187,103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,122,0,0,0,108,0,20,0,27,0,9,0,0,0,0,26,65,189,111,45
Georgia,Johnson,6281,175,144,182,139,68,179,223,231,504,551,448,398,178,45,68,131,49,43,39,317,108,93,379,159,261,81,24,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,6,8,0,17,0,0,8,0,0,0,0,0,0,0,46,124,358,171,172
Georgia,Jones,20790,580,863,575,446,227,606,583,559,1297,1491,1336,987,481,110,200,180,241,236,188,181,139,177,481,409,471,310,117,82,0,0,28,0,0,0,0,0,7,0,0,11,0,0,5,8,3,0,0,14,0,0,19,25,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,24,0,0,27,8,0,46,0,20,0,0,109,237,809,414,411
Georgia,Lamar,12186,349,343,354,218,193,393,393,314,678,834,853,658,339,45,155,137,153,126,195,259,122,74,416,190,314,229,27,20,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12,11,0,15,0,8,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,30,8,0,95,9,0,17,0,29,10,0,0,0,0,141,73,393,293,249
Georgia,Lanier,7669,267,227,289,229,56,237,310,302,464,487,472,308,89,108,94,83,117,27,24,202,53,97,218,111,94,101,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,0,59,0,14,0,37,7,38,20,9,0,0,0,0,15,144,367,123,106
Georgia,Laurens,28020,780,933,906,489,282,737,804,729,1634,1894,1855,1463,743,238,728,793,562,419,244,611,546,440,911,985,962,553,206,73,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,72,28,0,39,38,0,39,13,64,23,19,26,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,112,99,112,16,0,53,26,25,97,0,36,11,13,0,2,2,128,173,1402,623,576
Georgia,Lee,21735,697,861,856,519,258,548,627,677,1573,1468,1391,907,336,68,201,261,170,198,22,252,198,265,539,458,340,184,35,5,0,9,0,0,0,0,7,0,0,0,0,14,0,0,0,40,19,30,0,18,7,0,62,87,22,14,14,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,17,52,28,0,0,38,18,123,6,52,62,26,0,0,0,305,216,564,317,177
Georgia,Liberty,28881,1487,953,1148,410,395,2100,1850,1198,1730,1246,1171,898,366,61,1237,1099,789,574,334,1530,1512,929,1364,1309,1268,627,216,27,0,0,0,40,0,13,21,11,21,11,18,1,0,0,20,10,101,9,13,123,65,34,94,63,41,0,0,6,22,12,26,0,0,39,23,0,15,6,0,0,0,0,512,402,324,118,132,668,569,448,474,211,185,56,0,0,0,0,604,569,1725,462,374
Georgia,Lincoln,5217,157,130,105,42,38,157,141,122,259,323,457,420,235,0,16,72,98,21,73,33,80,52,173,107,198,79,64,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,2,0,4,4,4,23,5,0,0,0,0,0,0,36,28,209,192,123
Georgia,Long,11752,443,477,337,226,0,558,507,484,969,624,657,369,148,23,196,253,91,86,89,233,226,90,224,394,162,56,11,10,0,0,0,0,0,0,0,26,0,3,8,0,0,0,0,22,0,48,0,0,0,60,17,8,0,0,0,0,0,0,0,0,0,0,0,15,66,0,0,0,0,0,55,78,96,38,111,127,28,52,139,202,73,8,0,0,7,7,126,229,645,314,103
Georgia,Lowndes,66261,2129,2014,2013,1071,1192,4375,2824,2354,3734,3798,3398,2427,1234,325,1590,1906,1301,888,916,2672,1764,1370,2073,1892,1781,1025,336,135,61,0,0,0,0,30,0,24,0,23,41,0,0,0,45,52,51,6,5,147,172,132,92,72,63,23,0,24,0,0,0,0,0,0,0,6,11,3,0,0,0,0,387,294,295,216,37,541,357,295,355,356,180,46,12,15,0,0,717,773,2302,1165,1028
Georgia,Lumpkin,29981,659,724,835,509,811,2052,825,763,1628,1711,1902,1539,682,152,0,0,0,0,21,92,23,54,0,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,34,22,171,49,22,157,23,78,15,0,0,89,89,318,360,1139,416,466
Georgia,McDuffie,11746,294,356,295,217,46,370,369,289,626,814,815,707,294,73,345,236,491,178,154,306,195,228,546,435,491,279,127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,57,0,0,0,0,0,61,0,0,0,0,0,0,0,16,10,25,39,3,0,62,0,128,0,0,0,0,0,3,3,32,189,490,388,259
Georgia,McIntosh,8832,244,209,185,183,83,186,205,198,416,603,823,710,404,59,189,23,228,38,116,121,150,132,196,272,344,344,114,19,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,41,23,0,0,0,0,0,33,28,814,409,317
Georgia,Macon,4705,68,50,135,84,70,201,126,213,322,365,394,352,144,36,211,280,150,148,58,432,538,423,649,610,520,325,88,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,0,0,8,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0,29,0,0,91,0,39,100,27,26,0,0,0,0,0,34,140,440,231,123
Georgia,Madison,24483,754,747,808,480,283,716,689,607,1466,1792,1749,1285,582,114,51,140,63,75,9,85,121,95,174,147,232,82,29,0,0,0,6,0,0,3,0,4,0,0,29,0,0,0,19,22,7,7,15,17,15,0,20,0,54,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,191,68,56,27,114,0,4,149,41,62,8,2,0,17,17,361,341,1139,447,489
Georgia,Marion,5288,119,159,107,105,0,123,171,106,230,397,455,350,242,21,61,116,50,44,94,47,77,24,195,142,233,90,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,71,0,57,20,0,84,0,0,0,0,58,219,139,174
Georgia,Meriwether,12062,293,269,326,240,143,292,360,319,642,849,939,767,381,80,290,209,303,169,115,329,255,230,421,498,532,374,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,0,19,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,64,30,7,0,22,0,93,26,53,0,0,0,69,69,198,304,954,376,336
Georgia,Miller,3989,103,152,84,82,41,104,102,92,220,272,271,217,183,28,90,94,72,39,0,9,49,73,105,135,82,24,68,0,0,0,0,10,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,18,39,131,54,93
Georgia,Mitchell,11106,363,309,371,201,66,360,332,326,813,847,743,574,244,134,258,356,471,225,177,428,481,423,738,683,591,330,109,63,0,0,0,0,0,9,0,1,0,12,13,0,0,0,9,0,0,0,0,13,0,21,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,22,50,2,18,54,21,49,195,99,0,6,7,0,0,0,275,93,656,268,272
Georgia,Monroe,19829,542,396,824,406,248,554,509,573,1204,1428,1538,1101,552,90,193,86,255,136,131,429,182,268,260,412,419,283,115,6,0,0,23,0,0,0,0,0,0,7,0,0,0,0,0,0,17,3,0,0,0,6,28,14,32,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,0,24,21,0,47,183,0,25,14,0,0,0,0,153,278,658,301,361
Georgia,Montgomery,6156,135,173,177,115,127,259,247,169,362,446,433,309,155,23,59,60,102,51,135,148,36,61,172,159,136,122,2,7,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,29,0,0,38,56,8,30,59,16,4,0,0,0,0,59,99,318,114,90
Georgia,Morgan,13482,354,541,287,269,143,363,307,356,715,994,977,803,440,65,145,65,274,48,52,253,19,4,80,512,288,143,53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,23,0,0,0,106,19,52,6,40,40,2,0,0,0,0,78,76,567,336,235
Georgia,Murray,38261,1219,1407,1391,902,429,1209,1269,1065,2401,2822,2382,1626,724,63,0,26,17,45,11,11,51,2,18,9,50,8,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,13,5,0,0,0,0,4,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,298,389,239,76,259,190,205,424,375,208,34,0,0,2,2,340,178,856,704,499
Georgia,Muscogee,86552,2745,2844,2165,1471,1412,3838,4005,3647,5434,5145,5157,3421,1576,815,3300,3096,3522,1928,1293,3579,3775,3075,5249,5095,5104,2544,1068,142,16,15,16,35,8,54,91,0,40,24,61,20,0,0,169,219,155,115,20,82,361,113,358,280,196,101,35,1,0,12,11,11,2,2,0,37,53,0,62,0,0,0,837,732,687,422,255,709,827,867,1165,678,628,85,45,35,71,71,1737,1898,7244,2011,1957
